Timestamp,Temperature (C),Humidity (%),Device
2025-11-24 09:43:01,25.4,41.7,arduino_uno
2025-11-24 09:43:03,25.4,41.7,arduino_uno
2025-11-24 09:43:05,25.4,41.6,arduino_uno
2025-11-24 09:43:07,25.4,41.6,arduino_uno
2025-11-24 09:43:09,25.4,41.5,arduino_uno
2025-11-24 09:43:11,25.4,41.5,arduino_uno
2025-11-24 09:43:13,25.4,41.5,arduino_uno
2025-11-24 09:43:15,25.4,41.4,arduino_uno
2025-11-24 09:43:17,25.4,41.3,arduino_uno
2025-11-24 09:43:19,25.4,41.3,arduino_uno
2025-11-24 09:43:21,25.4,41.3,arduino_uno
2025-11-24 09:43:23,25.4,41.3,arduino_uno
2025-11-24 09:43:25,25.4,41.3,arduino_uno
2025-11-24 09:43:27,25.4,41.3,arduino_uno
2025-11-24 09:43:29,25.4,41.4,arduino_uno
2025-11-24 09:43:31,25.4,41.4,arduino_uno
2025-11-24 09:43:33,25.4,41.5,arduino_uno
2025-11-24 09:43:35,25.4,41.5,arduino_uno
2025-11-24 09:43:37,25.4,41.5,arduino_uno
2025-11-24 09:43:39,25.4,41.6,arduino_uno
2025-11-24 09:43:41,25.4,41.7,arduino_uno
2025-11-24 09:43:43,25.4,41.7,arduino_uno
2025-11-24 09:43:45,25.3,41.6,arduino_uno
2025-11-24 09:43:47,25.3,41.5,arduino_uno
2025-11-24 09:43:49,25.3,41.5,arduino_uno
2025-11-24 09:43:51,25.3,41.6,arduino_uno
2025-11-24 09:43:53,25.4,41.7,arduino_uno
2025-11-24 09:43:55,25.4,41.7,arduino_uno
2025-11-24 09:43:57,25.4,41.8,arduino_uno
2025-11-24 09:43:59,25.4,41.7,arduino_uno
2025-11-24 09:44:01,25.4,41.8,arduino_uno
2025-11-24 09:44:03,25.4,41.7,arduino_uno
2025-11-24 09:44:05,25.4,41.7,arduino_uno
2025-11-24 09:44:07,25.3,41.7,arduino_uno
2025-11-24 09:44:09,25.4,41.7,arduino_uno
2025-11-24 09:44:11,25.4,41.5,arduino_uno
2025-11-24 09:44:13,25.4,41.4,arduino_uno
2025-11-24 09:44:15,25.3,41.5,arduino_uno
2025-11-24 09:44:17,25.3,41.6,arduino_uno
2025-11-24 09:44:19,25.3,41.7,arduino_uno
2025-11-24 09:44:21,25.3,41.9,arduino_uno
2025-11-24 09:44:23,25.4,42.0,arduino_uno
2025-11-24 09:44:25,25.3,41.9,arduino_uno
2025-11-24 09:44:27,25.3,41.7,arduino_uno
2025-11-24 09:44:29,25.3,41.7,arduino_uno
2025-11-24 09:44:31,25.4,41.8,arduino_uno
2025-11-24 09:44:33,25.4,41.9,arduino_uno
2025-11-24 09:44:35,25.3,41.9,arduino_uno
2025-11-24 09:44:37,25.3,41.9,arduino_uno
2025-11-24 09:44:39,25.4,42.0,arduino_uno
2025-11-24 09:44:41,25.3,42.0,arduino_uno
2025-11-24 09:44:43,25.3,42.1,arduino_uno
2025-11-24 09:44:45,25.4,41.8,arduino_uno
2025-11-24 09:44:47,25.4,41.7,arduino_uno
2025-11-24 09:44:49,25.4,41.7,arduino_uno
2025-11-24 09:44:51,25.4,41.6,arduino_uno
2025-11-24 09:44:53,25.4,41.6,arduino_uno
2025-11-24 09:44:55,25.4,41.5,arduino_uno
2025-11-24 09:44:57,25.3,41.5,arduino_uno
2025-11-24 09:44:59,25.3,41.5,arduino_uno
2025-11-24 09:45:01,25.4,41.7,arduino_uno
2025-11-24 09:45:03,25.3,41.7,arduino_uno
2025-11-24 09:45:05,25.4,41.9,arduino_uno
2025-11-24 09:45:07,25.4,41.9,arduino_uno
2025-11-24 09:45:09,25.3,41.9,arduino_uno
2025-11-24 09:45:11,25.3,41.8,arduino_uno
2025-11-24 09:45:13,25.4,41.7,arduino_uno
2025-11-24 09:45:15,25.4,41.7,arduino_uno
2025-11-24 09:45:17,25.4,41.7,arduino_uno
2025-11-24 09:45:19,25.3,41.9,arduino_uno
2025-11-24 09:45:21,25.4,42.0,arduino_uno
2025-11-24 09:45:23,25.4,41.9,arduino_uno
2025-11-24 09:45:25,25.4,41.8,arduino_uno
2025-11-24 09:45:27,25.4,41.8,arduino_uno
2025-11-24 09:45:29,25.4,41.8,arduino_uno
2025-11-24 09:45:31,25.4,41.8,arduino_uno
2025-11-24 09:45:33,25.4,41.7,arduino_uno
2025-11-24 09:45:35,25.3,41.7,arduino_uno
2025-11-24 09:45:37,25.4,41.7,arduino_uno
2025-11-24 09:45:39,25.3,41.7,arduino_uno
2025-11-24 09:45:41,25.3,41.7,arduino_uno
2025-11-24 09:45:43,25.4,41.7,arduino_uno
2025-11-24 09:45:45,25.4,41.6,arduino_uno
2025-11-24 09:45:47,25.4,41.7,arduino_uno
2025-11-24 09:45:49,25.4,41.8,arduino_uno
2025-11-24 09:45:51,25.4,41.8,arduino_uno
2025-11-24 09:45:53,25.4,41.8,arduino_uno
2025-11-24 09:45:55,25.4,41.9,arduino_uno
2025-11-24 09:45:57,25.4,41.9,arduino_uno
2025-11-24 09:45:59,25.4,41.8,arduino_uno
2025-11-24 09:46:01,25.4,41.9,arduino_uno
2025-11-24 09:46:03,25.4,41.9,arduino_uno
2025-11-24 09:46:05,25.4,41.9,arduino_uno
2025-11-24 09:46:07,25.4,41.7,arduino_uno
2025-11-24 09:46:09,25.4,41.6,arduino_uno
2025-11-24 09:46:11,25.4,41.5,arduino_uno
2025-11-24 09:46:13,25.4,41.5,arduino_uno
2025-11-24 09:46:15,25.4,41.6,arduino_uno
2025-11-24 09:46:17,25.4,41.6,arduino_uno
2025-11-24 09:46:19,25.4,41.6,arduino_uno
2025-11-24 09:46:21,25.4,41.6,arduino_uno
2025-11-24 09:46:23,25.4,41.6,arduino_uno
2025-11-24 09:46:25,25.4,41.6,arduino_uno
2025-11-24 09:46:27,25.4,41.7,arduino_uno
2025-11-24 09:46:29,25.4,41.7,arduino_uno
2025-11-24 09:46:31,25.4,41.9,arduino_uno
2025-11-24 09:46:33,25.4,42.0,arduino_uno
2025-11-24 09:46:35,25.4,42.0,arduino_uno
2025-11-24 09:46:37,25.4,41.9,arduino_uno
2025-11-24 09:46:39,25.4,41.9,arduino_uno
2025-11-24 09:46:41,25.4,41.6,arduino_uno
2025-11-24 09:46:43,25.4,41.5,arduino_uno
2025-11-24 09:46:45,25.4,41.4,arduino_uno
2025-11-24 09:46:47,25.4,41.4,arduino_uno
2025-11-24 09:46:49,25.4,41.3,arduino_uno
2025-11-24 09:46:51,25.4,41.2,arduino_uno
2025-11-24 09:46:54,25.4,41.2,arduino_uno
2025-11-24 09:46:56,25.4,41.1,arduino_uno
2025-11-24 09:46:58,25.4,41.1,arduino_uno
2025-11-24 09:47:00,25.4,41.1,arduino_uno
2025-11-24 09:47:02,25.4,41.1,arduino_uno
2025-11-24 09:47:04,25.4,41.1,arduino_uno
2025-11-24 09:47:06,25.4,41.1,arduino_uno
2025-11-24 09:47:08,25.4,41.3,arduino_uno
2025-11-24 09:47:10,25.4,41.2,arduino_uno
2025-11-24 09:47:12,25.4,41.1,arduino_uno
2025-11-24 09:47:14,25.4,41.1,arduino_uno
2025-11-24 09:47:16,25.4,41.1,arduino_uno
2025-11-24 09:47:18,25.4,41.1,arduino_uno
2025-11-24 09:47:20,25.4,41.1,arduino_uno
2025-11-24 09:47:22,25.4,41.1,arduino_uno
2025-11-24 09:47:24,25.4,41.1,arduino_uno
2025-11-24 09:47:26,25.4,41.1,arduino_uno
2025-11-24 09:47:28,25.4,41.0,arduino_uno
2025-11-24 09:47:30,25.4,41.0,arduino_uno
2025-11-24 09:47:32,25.4,41.0,arduino_uno
2025-11-24 09:47:34,25.4,40.9,arduino_uno
2025-11-24 09:47:36,25.4,41.0,arduino_uno
2025-11-24 09:47:38,25.4,41.0,arduino_uno
2025-11-24 09:47:40,25.4,41.0,arduino_uno
2025-11-24 09:47:42,25.4,40.9,arduino_uno
2025-11-24 09:47:44,25.4,40.9,arduino_uno
2025-11-24 09:47:46,25.4,40.9,arduino_uno
2025-11-24 09:47:48,25.4,41.0,arduino_uno
2025-11-24 09:47:50,25.4,41.0,arduino_uno
2025-11-24 09:47:52,25.4,41.0,arduino_uno
2025-11-24 09:47:54,25.4,40.9,arduino_uno
2025-11-24 09:47:56,25.4,40.9,arduino_uno
2025-11-24 09:47:58,25.4,40.8,arduino_uno
2025-11-24 09:48:00,25.4,40.8,arduino_uno
2025-11-24 09:48:02,25.4,40.8,arduino_uno
2025-11-24 09:48:04,25.4,40.8,arduino_uno
2025-11-24 09:48:06,25.4,40.8,arduino_uno
2025-11-24 09:48:08,25.4,40.8,arduino_uno
2025-11-24 09:48:10,25.4,40.8,arduino_uno
2025-11-24 09:48:12,25.4,40.8,arduino_uno
2025-11-24 09:48:14,25.4,40.8,arduino_uno
2025-11-24 09:48:16,25.4,40.8,arduino_uno
2025-11-24 09:48:18,25.4,40.7,arduino_uno
2025-11-24 09:48:20,25.4,40.8,arduino_uno
2025-11-24 09:48:22,25.4,40.7,arduino_uno
2025-11-24 09:48:24,25.4,40.7,arduino_uno
2025-11-24 09:48:26,25.4,40.7,arduino_uno
2025-11-24 09:48:28,25.4,40.7,arduino_uno
2025-11-24 09:48:30,25.4,40.7,arduino_uno
2025-11-24 09:48:32,25.4,40.7,arduino_uno
2025-11-24 09:48:34,25.4,40.7,arduino_uno
2025-11-24 09:48:36,25.4,40.7,arduino_uno
2025-11-24 09:48:38,25.4,40.7,arduino_uno
2025-11-24 09:48:40,25.4,40.7,arduino_uno
2025-11-24 09:48:42,25.4,40.7,arduino_uno
2025-11-24 09:48:44,25.4,40.7,arduino_uno
2025-11-24 09:48:46,25.4,40.7,arduino_uno
2025-11-24 09:48:48,25.4,40.7,arduino_uno
2025-11-24 09:48:50,25.4,40.7,arduino_uno
2025-11-24 09:48:52,25.4,40.7,arduino_uno
2025-11-24 09:48:54,25.4,40.7,arduino_uno
2025-11-24 09:48:56,25.4,40.7,arduino_uno
2025-11-24 09:48:58,25.4,40.7,arduino_uno
2025-11-24 09:49:00,25.4,40.6,arduino_uno
2025-11-24 09:49:02,25.4,40.6,arduino_uno
2025-11-24 09:49:04,25.4,40.6,arduino_uno
2025-11-24 09:49:06,25.4,40.6,arduino_uno
2025-11-24 09:49:08,25.4,40.6,arduino_uno
2025-11-24 09:49:10,25.4,40.7,arduino_uno
2025-11-24 09:49:12,25.4,40.8,arduino_uno
2025-11-24 09:49:14,25.4,40.8,arduino_uno
2025-11-24 09:49:16,25.4,40.8,arduino_uno
2025-11-24 09:49:18,25.4,40.8,arduino_uno
2025-11-24 09:49:20,25.4,40.8,arduino_uno
2025-11-24 09:49:22,25.4,40.8,arduino_uno
2025-11-24 09:49:24,25.4,40.7,arduino_uno
2025-11-24 09:49:26,25.4,40.7,arduino_uno
2025-11-24 09:49:28,25.4,40.8,arduino_uno
2025-11-24 09:49:30,25.4,40.8,arduino_uno
2025-11-24 09:49:32,25.4,40.8,arduino_uno
2025-11-24 09:49:34,25.4,40.7,arduino_uno
2025-11-24 09:49:36,25.4,40.8,arduino_uno
2025-11-24 09:49:38,25.4,40.8,arduino_uno
2025-11-24 09:49:40,25.4,40.8,arduino_uno
2025-11-24 09:49:42,25.4,40.8,arduino_uno
2025-11-24 09:49:44,25.4,40.8,arduino_uno
2025-11-24 09:49:46,25.4,40.7,arduino_uno
2025-11-24 09:49:48,25.4,40.7,arduino_uno
2025-11-24 09:49:50,25.4,40.7,arduino_uno
2025-11-24 09:49:52,25.4,40.8,arduino_uno
2025-11-24 09:49:54,25.4,40.9,arduino_uno
2025-11-24 09:49:56,25.4,40.9,arduino_uno
2025-11-24 09:49:58,25.4,40.9,arduino_uno
2025-11-24 09:50:00,25.4,40.8,arduino_uno
2025-11-24 09:50:02,25.4,40.8,arduino_uno
2025-11-24 09:50:04,25.4,40.9,arduino_uno
2025-11-24 09:50:06,25.4,40.9,arduino_uno
2025-11-24 09:50:08,25.4,40.9,arduino_uno
2025-11-24 09:50:10,25.4,40.9,arduino_uno
2025-11-24 09:50:12,25.4,40.9,arduino_uno
2025-11-24 09:50:14,25.4,40.8,arduino_uno
2025-11-24 09:50:16,25.4,40.8,arduino_uno
2025-11-24 09:50:18,25.4,40.8,arduino_uno
2025-11-24 09:50:20,25.4,40.7,arduino_uno
2025-11-24 09:50:22,25.4,40.7,arduino_uno
2025-11-24 09:50:24,25.4,40.7,arduino_uno
2025-11-24 09:50:26,25.4,40.8,arduino_uno
2025-11-24 09:50:28,25.4,40.8,arduino_uno
2025-11-24 09:50:30,25.4,40.8,arduino_uno
2025-11-24 09:50:32,25.4,40.8,arduino_uno
2025-11-24 09:50:34,25.4,40.7,arduino_uno
2025-11-24 09:50:36,25.4,40.8,arduino_uno
2025-11-24 09:50:38,25.4,40.8,arduino_uno
2025-11-24 09:50:40,25.4,40.8,arduino_uno
2025-11-24 09:50:42,25.4,40.8,arduino_uno
2025-11-24 09:50:44,25.4,40.8,arduino_uno
2025-11-24 09:50:46,25.4,40.8,arduino_uno
2025-11-24 09:50:48,25.4,40.8,arduino_uno
2025-11-24 09:50:50,25.4,40.8,arduino_uno
2025-11-24 09:50:52,25.4,40.8,arduino_uno
2025-11-24 09:50:54,25.4,40.8,arduino_uno
2025-11-24 09:50:56,25.4,40.8,arduino_uno
2025-11-24 09:50:58,25.4,40.8,arduino_uno
2025-11-24 09:51:00,25.4,40.9,arduino_uno
2025-11-24 09:51:02,25.4,40.9,arduino_uno
2025-11-24 09:51:04,25.4,41.0,arduino_uno
2025-11-24 09:51:06,25.4,40.9,arduino_uno
2025-11-24 09:51:08,25.4,40.9,arduino_uno
2025-11-24 09:51:10,25.4,40.9,arduino_uno
2025-11-24 09:51:12,25.4,41.0,arduino_uno
2025-11-24 09:51:14,25.4,41.0,arduino_uno
2025-11-24 09:51:16,25.4,41.1,arduino_uno
2025-11-24 09:51:18,25.4,41.1,arduino_uno
2025-11-24 09:51:20,25.4,41.1,arduino_uno
2025-11-24 09:51:22,25.4,41.2,arduino_uno
2025-11-24 09:51:24,25.4,41.2,arduino_uno
2025-11-24 09:51:26,25.4,41.3,arduino_uno
2025-11-24 09:51:28,25.4,41.3,arduino_uno
2025-11-24 09:51:30,25.4,41.3,arduino_uno
2025-11-24 09:51:32,25.4,41.2,arduino_uno
2025-11-24 09:51:34,25.4,41.3,arduino_uno
2025-11-24 09:51:36,25.5,41.3,arduino_uno
2025-11-24 09:51:38,25.4,41.3,arduino_uno
2025-11-24 09:51:40,25.4,41.3,arduino_uno
2025-11-24 09:51:42,25.4,41.3,arduino_uno
2025-11-24 09:51:44,25.4,41.2,arduino_uno
2025-11-24 09:51:46,25.4,41.2,arduino_uno
2025-11-24 09:51:48,25.5,41.7,arduino_uno
2025-11-24 09:51:50,25.5,41.8,arduino_uno
2025-11-24 09:51:52,25.4,41.8,arduino_uno
2025-11-24 09:51:54,25.4,41.7,arduino_uno
2025-11-24 09:51:56,25.5,41.5,arduino_uno
2025-11-24 09:51:58,25.4,41.5,arduino_uno
2025-11-24 09:52:00,25.4,41.6,arduino_uno
2025-11-24 09:52:02,25.4,41.6,arduino_uno
2025-11-24 09:52:05,25.4,41.5,arduino_uno
2025-11-24 09:52:07,25.5,41.5,arduino_uno
2025-11-24 09:52:09,25.5,41.5,arduino_uno
2025-11-24 09:52:11,25.5,41.4,arduino_uno
2025-11-24 09:52:13,25.4,41.5,arduino_uno
2025-11-24 09:52:15,25.4,41.5,arduino_uno
2025-11-24 09:52:17,25.4,41.4,arduino_uno
2025-11-24 09:52:19,25.5,41.4,arduino_uno
2025-11-24 09:52:21,25.4,41.4,arduino_uno
2025-11-24 09:52:23,25.5,41.4,arduino_uno
2025-11-24 09:52:25,25.4,41.4,arduino_uno
2025-11-24 09:52:27,25.5,41.4,arduino_uno
2025-11-24 09:52:29,25.5,41.3,arduino_uno
2025-11-24 09:52:31,25.5,41.3,arduino_uno
2025-11-24 09:52:33,25.4,41.2,arduino_uno
2025-11-24 09:52:35,25.5,41.3,arduino_uno
